site-name,site-ref,sample-ref,lab-id,bp,error,human,marine,d13C,d15N,C/N,context-ref,source,notes
tofts ness,,TN86 575,GU-2207,2510,140,no,no,-22.0,,,"Area C: secondary wall core, structure 5",Ambers 2007; Outram 2007,published calibrated dates are from Outram 2007
tofts ness,,TN86 700,GU-2208,2470,50,no,no,-21.4,,,Area C: midden material butting the rebuilt annexe wall,Ambers 2007; Outram 2007,published calibrated dates are from Outram 2007
tofts ness,,TN86 752,GU-2544,2470,50,no,no,-27.9,,,Area C: thin peat layer,Ambers 2007; Outram 2007,published calibrated dates are from Outram 2007
warebeth,,,GU-2385,1720,50,no,no,-23.1,,,,Bell and Dickson 1989: 104; https://canmore.org.uk/c14index/1560,cattle bone; Waterlogged animal bone in the well chamber below the broch floor. Secondary phase on Iron Age broch site.
westness,,,T-6527,1360,70,yes,no,-20.84,11.0,3.26,grave 10,ashmore 2003; barrett & richards 2004,extended inhumation in cist; burial 10; aligned NE-SW; revised d13C from Barrett & Richards
westness,,,T-6528,1400,60,yes,no,-20.46,11.01,3.26,grave 20,ashmore 2003; barrett & richards 2004,inhumation in cist; burial 20; aligned NW-SE; revised d13C from Barrett & Richards
westness,,,T-6529,1530,60,yes,no,-21.0,10.41,3.51,grave 25,ashmore 2003; barrett & richards 2004,inhumation; burial 25; W-E; revised d13C from Barrett & Richards
westness,,,T-6530,920,50,yes,no,-20.63,11.74,3.63,grave 36,ashmore 2003; barrett & richards 2004,inhumation with grave goods; burial 36; grave goods c. 850-950; revised d13C from Barrett & Richards
westness,,,T-6532,1190,50,yes,no,-20.7,11.8,3.4,grave 5,ashmore 2003; barrett & richards 2004,crouched inhumation in elliptical grave with tools etc; burial 5; grave goods c. 850-950; same as TO-7532: combined 660-890AD; revised d13C from Barrett & Richards
westness,,,T-6813,1320,80,yes,no,-22.7,,,grave 6,ashmore 2003,extended inhumation; burial 6; W-E
westness,,,T-6814,1270,60,yes,no,-18.1,13.7,3.3,grave 11,ashmore 2003; barrett & richards 2004,extended inhumation in boat shaped grave with weapons and tools; burial 11; grave goods c. 850-950; revised d13C from Barrett & Richards
westness,,,T-6815,1240,70,yes,no,-18.2,14.8,3.4,grave 12,ashmore 2003; barrett & richards 2004,inhumation in disturbed cist with weapons and tools; burial 12; grave goods c. 850-950; revised d13C from Barrett & Richards
westness,,,T-6816,1180,70,yes,no,-22.7,,,grave 18,ashmore 2003,inhumation; burial 18; aligned N-S
westness,,,T-6817,1330,120,yes,no,-20.76,10.37,3.52,grave 26,ashmore 2003; barrett & richards 2004,inhumation; burial 26; W-E; revised d13C from Barrett & Richards
westness,,,T-7464,1220,40,yes,no,-19.3,,,grave 9,ashmore 2003,inhumation; burial 9; W-E
westness,,,T-7465,1430,40,yes,no,-19.1,,,grave 13,ashmore 2003,infant inhumation; burial 13; W-E
westness,,,T-7466,1400,40,yes,no,-20.55,10.88,3.24,grave 24,ashmore 2003; barrett & richards 2004,inhumation; burial 24; W-E; revised d13C from Barrett & Richards
westness,,,T-7467,1160,50,yes,no,-19.7,,,grave 17,ashmore 2003,infant inhumation; burial 17; W-E
westness,,,T-7468,1410,30,yes,no,-20.93,11.47,3.28,grave 21,ashmore 2003; barrett & richards 2004,inhumation; burial 21; W-E; revised d13C from Barrett & Richards
westness,,,T-7469,1330,70,yes,no,-21.3,,,grave 19,ashmore 2003,infant inhumation in cist; burial 19; W-E
westness,,,T-7470,1410,60,yes,no,-21.1,10.83,3.35,grave 32,ashmore 2003; barrett & richards 2004,inhumation; burial 32; revised d13C from Barrett & Richards
westness,,,T-7471,1480,40,yes,no,-21.0,11.26,3.46,grave 28,ashmore 2003; barrett & richards 2004,inhumation; burial 28a; W-E; revised d13C from Barrett & Richards
westness,,,TO-7194,1200,40,yes,no,-19.4,,,1963A,ashmore 2003,burial with grave goods; burial 1963A
westness,,,TO-7195,1600,70,yes,no,-21.0,11.0,3.3,1963B,barrett & richards 2004,revised d13C from Barrett & Richards
westness,,,TO-7196,1540,40,yes,no,-19.9,,,burial 7,ashmore 2003,burial 7; W-E
westness,,,TO-7198,1200,40,yes,no,-19.6,,,burial 15,ashmore 2003,burial 15; W-E
westness,,,TO-7532,1300,30,yes,no,-20.7,11.8,3.4,grave 5,barrett & richards 2004,grave goods c. 850-950; same as T-6532: combined 660-890AD; revised d13C from Barrett & Richards
